Series,Episode,Contestant_x,Result,Final Review,Winner_x,Eliminated_x,Technical_Rank,Contestant_Normalized,Contestant_y,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner_y,Eliminated_y
12,1,Andy,SAFE,,,,8.0,Andy,,,,,,,,,,,,,,,
12,2,Andy,SAFE,,,,10.0,Andy,,,,,,,,,,,,,,,
12,3,Andy,LOW,-1.0,,,3.0,Andy,,,,,,,,,,,,,,,
12,4,Andy,SAFE,,,,9.0,Andy,,,,,,,,,,,,,,,
12,5,Andy,OUT,-1.0,,1.0,7.0,Andy,,,,,,,,,,,,,,,
12,1,Christiaan,LOW,-1.0,,,2.0,Christiaan,,,,,,,,,,,,,,,
12,2,Christiaan,HIGH,1.0,,,6.0,Christiaan,,,,,,,,,,,,,,,
12,3,Christiaan,SAFE,,,,8.0,Christiaan,,,,,,,,,,,,,,,
12,4,Christiaan,SAFE,,,,2.0,Christiaan,,,,,,,,,,,,,,,
12,5,Christiaan,SAFE,,,,2.0,Christiaan,,,,,,,,,,,,,,,
12,6,Christiaan,SAFE,,,,6.0,Christiaan,,,,,,,,,,,,,,,
12,7,Christiaan,SAFE,,,,3.0,Christiaan,,,,,,,,,,,,,,,
12,8,Christiaan,LOW,-1.0,,,2.0,Christiaan,,,,,,,,,,,,,,,
12,9,Christiaan,SB,1.0,1.0,,3.0,Christiaan,,,,,,,,,,,,,,,
12,10,Christiaan,RUNNER-UP,,,,1.0,Christiaan,,,,,,,,,,,,,,,
12,1,Dylan,SAFE,,,,4.0,Dylan,,,,,,,,,,,,,,,
12,2,Dylan,SAFE,,,,11.0,Dylan,,,,,,,,,,,,,,,
12,3,Dylan,SB,1.0,1.0,,10.0,Dylan,,,,,,,,,,,,,,,
12,4,Dylan,HIGH,1.0,,,5.0,Dylan,,,,,,,,,,,,,,,
12,5,Dylan,SAFE,,,,1.0,Dylan,,,,,,,,,,,,,,,
12,6,Dylan,LOW,-1.0,,,4.0,Dylan,,,,,,,,,,,,,,,
12,7,Dylan,SB,1.0,1.0,,1.0,Dylan,,,,,,,,,,,,,,,
12,8,Dylan,HIGH,1.0,,,3.0,Dylan,,,,,,,,,,,,,,,
12,9,Dylan,HIGH,1.0,,,1.0,Dylan,,,,,,,,,,,,,,,
12,10,Dylan,RUNNER-UP,,,,3.0,Dylan,,,,,,,,,,,,,,,
12,1,Georgie,HIGH,1.0,,,1.0,Georgie,,,,,,,,,,,,,,,
12,2,Georgie,LOW,-1.0,,,9.0,Georgie,,,,,,,,,,,,,,,
12,3,Georgie,HIGH,1.0,,,7.0,Georgie,,,,,,,,,,,,,,,
12,4,Georgie,SB,1.0,1.0,,1.0,Georgie,,,,,,,,,,,,,,,
12,5,Georgie,SAFE,,,,6.0,Georgie,,,,,,,,,,,,,,,
12,6,Georgie,SAFE,,,,2.0,Georgie,,,,,,,,,,,,,,,
12,7,Georgie,HIGH,1.0,,,2.0,Georgie,,,,,,,,,,,,,,,
12,8,Georgie,SB,1.0,1.0,,1.0,Georgie,,,,,,,,,,,,,,,
12,9,Georgie,LOW,-1.0,,,4.0,Georgie,,,,,,,,,,,,,,,
12,10,Georgie,WINNER,,1.0,,2.0,Georgie,,,,,,,,,,,,,,,
12,1,Gill,SAFE,,,,6.0,Gill,,,,,,,,,,,,,,,
12,2,Gill,SAFE,,,,4.0,Gill,,,,,,,,,,,,,,,
12,3,Gill,SAFE,,,,5.0,Gill,,,,,,,,,,,,,,,
12,4,Gill,SAFE,,,,8.0,Gill,,,,,,,,,,,,,,,
12,5,Gill,SB,1.0,1.0,,8.0,Gill,,,,,,,,,,,,,,,
12,6,Gill,HIGH,1.0,,,7.0,Gill,,,,,,,,,,,,,,,
12,7,Gill,LOW,-1.0,,,4.0,Gill,,,,,,,,,,,,,,,
12,8,Gill,LOW,-1.0,,,5.0,Gill,,,,,,,,,,,,,,,
12,9,Gill,OUT,-1.0,,1.0,2.0,Gill,,,,,,,,,,,,,,,
12,1,Hazel,LOW,-1.0,,,10.0,Hazel,,,,,,,,,,,,,,,
12,2,Hazel,OUT,-1.0,,1.0,5.0,Hazel,,,,,,,,,,,,,,,
12,1,Illiyin,SAFE,,,,7.0,Illiyin,,,,,,,,,,,,,,,
12,2,Illiyin,LOW,-1.0,,,8.0,Illiyin,,,,,,,,,,,,,,,
12,3,Illiyin,SAFE,,,,4.0,Illiyin,,,,,,,,,,,,,,,
12,4,Illiyin,SAFE,,,,4.0,Illiyin,,,,,,,,,,,,,,,
12,5,Illiyin,LOW,-1.0,,,5.0,Illiyin,,,,,,,,,,,,,,,
12,6,Illiyin,SAFE,,,,1.0,Illiyin,,,,,,,,,,,,,,,
12,7,Illiyin,LOW,-1.0,,,5.0,Illiyin,,,,,,,,,,,,,,,
12,8,Illiyin,OUT,-1.0,,1.0,4.0,Illiyin,,,,,,,,,,,,,,,
12,1,John,SB,1.0,1.0,,3.0,John,,,,,,,,,,,,,,,
12,2,John,SAFE,,,,2.0,John,,,,,,,,,,,,,,,
12,3,John,OUT,-1.0,,1.0,9.0,John,,,,,,,,,,,,,,,
12,1,Mike,SAFE,,,,11.0,Mike,,,,,,,,,,,,,,,
12,2,Mike,SAFE,,,,1.0,Mike,,,,,,,,,,,,,,,
12,3,Mike,SAFE,,,,6.0,Mike,,,,,,,,,,,,,,,
12,4,Mike,OUT,-1.0,,1.0,7.0,Mike,,,,,,,,,,,,,,,
12,1,Nelly,SAFE,,,,5.0,Nelly,,,,,,,,,,,,,,,
12,2,Nelly,SAFE,,,,7.0,Nelly,,,,,,,,,,,,,,,
12,3,Nelly,HIGH,1.0,,,1.0,Nelly,,,,,,,,,,,,,,,
12,4,Nelly,SAFE,,,,6.0,Nelly,,,,,,,,,,,,,,,
12,5,Nelly,SAFE,,,,3.0,Nelly,,,,,,,,,,,,,,,
12,6,Nelly,OUT,-1.0,,1.0,5.0,Nelly,,,,,,,,,,,,,,,
12,1,Sumayah,HIGH,1.0,,,9.0,Sumayah,,,,,,,,,,,,,,,
12,2,Sumayah,SB,1.0,1.0,,3.0,Sumayah,,,,,,,,,,,,,,,
12,3,Sumayah,SAFE,,,,2.0,Sumayah,,,,,,,,,,,,,,,
12,4,Sumayah,LOW,-1.0,,,3.0,Sumayah,,,,,,,,,,,,,,,
12,5,Sumayah,HIGH,1.0,,,4.0,Sumayah,,,,,,,,,,,,,,,
12,6,Sumayah,SB,1.0,1.0,,3.0,Sumayah,,,,,,,,,,,,,,,
12,7,Sumayah,OUT,-1.0,,1.0,6.0,Sumayah,,,,,,,,,,,,,,,
